sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	panel	collapse_rule	profile	called_rows_mapped	called_species_mapped
5	validated_current_no_exact	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619205	15.414228172608883	0.9913799211896313	0.9917478920123493	cami2_toy_mouse_gut	max	NA	NA	NA
6	validated_current_no_exact	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.918399189063045	20.06295582358081	0.9729828392129992	0.9737545137280396	cami2_toy_mouse_gut	max	NA	NA	NA
7	validated_current_no_exact	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454544	5.9156741322429225	5.826327372589971	0.998426948609354	0.9984274174395252	cami2_toy_mouse_gut	max	NA	NA	NA
0	validated_current_no_exact	33	36	29	7	4	0.8055555555555556	0.8787878787878788	0.8405797101449276	18.780365281635632	10.124727197423452	0.9895037710483946	0.9957539782840136	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
1	validated_current_no_exact	51	99	51	48	0	0.5151515151515151	1.0	0.6799999999999999	18.1058836900925	11.773226709809936	0.9973939434154936	0.9978165192517792	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
3	validated_current_no_exact	47	47	45	2	2	0.9574468085106383	0.9574468085106383	0.9574468085106383	12.670666989685692	8.881086724946552	0.9970245468507756	0.999392798033046	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
4	validated_current_no_exact	106	137	102	35	4	0.7445255474452555	0.9622641509433962	0.8395061728395061	28.726740922959127	19.861197783006386	0.9883782682234048	0.9913715332528884	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
5	validated_current_no_exact	26	26	25	1	1	0.9615384615384616	0.9615384615384616	0.9615384615384616	10.337735604597114	9.524072174532565	0.9983818025644174	0.9984813848525256	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
6	validated_current_no_exact	16	16	15	1	1	0.9375	0.9375	0.9375	23.21539172246881	12.202962601464057	0.9122239933982668	0.976002571771857	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
7	validated_current_no_exact	75	89	69	20	6	0.7752808988764045	0.92	0.8414634146341463	27.609399687248025	23.569124165375715	0.9875542782678016	0.9880750272858686	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
9	validated_current_no_exact	96	102	92	10	4	0.9019607843137256	0.9583333333333334	0.9292929292929292	31.52693025024469	22.68679514645133	0.9866666556242832	0.9927120918834782	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
10	validated_current_no_exact	69	69	63	6	6	0.9130434782608696	0.9130434782608696	0.9130434782608696	20.729208359157205	18.003822216673804	0.9889496865549156	0.9899775618885672	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
11	validated_current_no_exact	33	32	32	0	1	1.0	0.9696969696969696	0.9846153846153848	22.345748750639043	22.345748750639043	0.9390039844436856	0.9390039844436856	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
14	validated_current_no_exact	28	30	25	5	3	0.8333333333333334	0.8928571428571429	0.8620689655172413	14.824167972260827	11.357212620265202	0.998636430360122	0.9989077132319848	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
