sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	panel	collapse_rule	kept_rows	dropped_rows	current_F1	current_L1_union_pp	current_L1_truth_only_pp	current_Pearson_union	current_Pearson_truth_only	delta_F1	official_L1_pp	current_official_L1_pp	delta_official_L1_pp	official_Pearson	current_official_Pearson	delta_official_Pearson
5	current_calls	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619205	15.414228172608885	0.9913799211896311	0.9917478920123491	cami2_toy_mouse_gut	max	162	0	0.8722222222222222	17.185888179619205	15.414228172608885	0.9913799211896311	0.9917478920123491	0.0	15.414228172608885	15.414228172608885	0.0	0.9917478920123491	0.9917478920123491	0.0
5	drop_prob_lt_0.7_and_breadth_lt_0.2	198	140	137	3	61	0.9785714285714285	0.6919191919191919	0.8106508875739645	17.265232919372583	15.491397669945853	0.9914809192612296	0.9918635013699584	cami2_toy_mouse_gut	max	140	22	0.8722222222222222	17.185888179619205	15.414228172608885	0.9913799211896311	0.9917478920123491	-0.0615713346482577	15.491397669945853	15.414228172608885	0.07716949733696765	0.9918635013699584	0.9917478920123491	0.00011560935760923652
6	current_calls	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.918399189063045	20.062955823580815	0.9729828392129993	0.9737545137280396	cami2_toy_mouse_gut	max	157	0	0.8547486033519553	22.918399189063045	20.062955823580815	0.9729828392129993	0.9737545137280396	0.0	20.062955823580815	20.062955823580815	0.0	0.9737545137280396	0.9737545137280396	0.0
6	drop_prob_lt_0.7_and_breadth_lt_0.2	201	142	138	4	63	0.971830985915493	0.6865671641791045	0.8046647230320699	23.17946985450254	20.26954584304213	0.973033910781545	0.9738254002943884	cami2_toy_mouse_gut	max	142	15	0.8547486033519553	22.918399189063045	20.062955823580815	0.9729828392129993	0.9737545137280396	-0.05008388031988542	20.26954584304213	20.062955823580815	0.2065900194613164	0.9738254002943884	0.9737545137280396	7.088656634879342e-05
7	current_calls	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.9156741322429225	5.826327372589971	0.9984269486093539	0.9984274174395251	cami2_toy_mouse_gut	max	64	0	0.9545454545454545	5.9156741322429225	5.826327372589971	0.9984269486093539	0.9984274174395251	0.0	5.826327372589971	5.826327372589971	0.0	0.9984274174395251	0.9984274174395251	0.0
7	drop_prob_lt_0.7_and_breadth_lt_0.2	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.9156741322429225	5.826327372589971	0.9984269486093539	0.9984274174395251	cami2_toy_mouse_gut	max	64	0	0.9545454545454545	5.9156741322429225	5.826327372589971	0.9984269486093539	0.9984274174395251	0.0	5.826327372589971	5.826327372589971	0.0	0.9984274174395251	0.9984274174395251	0.0
0	current_calls	33	36	29	7	4	0.8055555555555556	0.8787878787878788	0.8405797101449276	18.780365281635632	10.124727197423452	0.9895037710483946	0.9957539782840136	hmp_airskin_gtdb_source_abundance	sum	36	0	0.8405797101449276	18.780365281635632	10.124727197423452	0.9895037710483946	0.9957539782840136	0.0	18.780365281635632	18.780365281635632	0.0	0.9895037710483946	0.9895037710483946	0.0
0	drop_prob_lt_0.7_and_breadth_lt_0.2	33	29	28	1	5	0.9655172413793104	0.8484848484848485	0.9032258064516129	11.658200155584469	7.591637788462475	0.9914774800800686	0.9957558406567488	hmp_airskin_gtdb_source_abundance	sum	29	7	0.8405797101449276	18.780365281635632	10.124727197423452	0.9895037710483946	0.9957539782840136	0.06264609630668527	11.658200155584469	18.780365281635632	-7.122165126051163	0.9914774800800686	0.9895037710483946	0.0019737090316740424
1	current_calls	51	99	51	48	0	0.5151515151515151	1.0	0.6799999999999999	18.1058836900925	11.773226709809936	0.9973939434154936	0.9978165192517793	hmp_airskin_gtdb_source_abundance	sum	99	0	0.6799999999999999	18.1058836900925	11.773226709809936	0.9973939434154936	0.9978165192517793	0.0	18.1058836900925	18.1058836900925	0.0	0.9973939434154936	0.9973939434154936	0.0
1	drop_prob_lt_0.7_and_breadth_lt_0.2	51	51	49	2	2	0.9607843137254902	0.9607843137254902	0.9607843137254902	12.494509000261885	11.754542722473854	0.9977516038082963	0.9977763787494437	hmp_airskin_gtdb_source_abundance	sum	51	48	0.6799999999999999	18.1058836900925	11.773226709809936	0.9973939434154936	0.9978165192517793	0.2807843137254903	12.494509000261885	18.1058836900925	-5.611374689830615	0.9977516038082963	0.9973939434154936	0.00035766039280271666
3	current_calls	47	47	45	2	2	0.9574468085106383	0.9574468085106383	0.9574468085106385	12.670666989685692	8.881086724946552	0.9970245468507755	0.9993927980330461	hmp_airskin_gtdb_source_abundance	sum	47	0	0.9574468085106385	12.670666989685692	8.881086724946552	0.9970245468507755	0.9993927980330461	0.0	12.670666989685692	12.670666989685692	0.0	0.9970245468507755	0.9970245468507755	0.0
3	drop_prob_lt_0.7_and_breadth_lt_0.2	47	47	45	2	2	0.9574468085106383	0.9574468085106383	0.9574468085106385	12.670666989685692	8.881086724946552	0.9970245468507755	0.9993927980330461	hmp_airskin_gtdb_source_abundance	sum	47	0	0.9574468085106385	12.670666989685692	8.881086724946552	0.9970245468507755	0.9993927980330461	0.0	12.670666989685692	12.670666989685692	0.0	0.9970245468507755	0.9970245468507755	0.0
4	current_calls	106	137	102	35	4	0.7445255474452555	0.9622641509433962	0.8395061728395061	28.726740922959127	19.861197783006386	0.9883782682234049	0.9913715332528884	hmp_airskin_gtdb_source_abundance	sum	137	0	0.8395061728395061	28.726740922959127	19.861197783006386	0.9883782682234049	0.9913715332528884	0.0	28.726740922959127	28.726740922959127	0.0	0.9883782682234049	0.9883782682234049	0.0
4	drop_prob_lt_0.7_and_breadth_lt_0.2	106	95	92	3	14	0.968421052631579	0.8679245283018868	0.9154228855721392	17.959602078015184	17.25417836688548	0.9913622959942252	0.9913852329802144	hmp_airskin_gtdb_source_abundance	sum	95	42	0.8395061728395061	28.726740922959127	19.861197783006386	0.9883782682234049	0.9913715332528884	0.07591671273263312	17.959602078015184	28.726740922959127	-10.767138844943943	0.9913622959942252	0.9883782682234049	0.0029840277708202967
5	current_calls	26	26	25	1	1	0.9615384615384616	0.9615384615384616	0.9615384615384616	10.337735604597114	9.524072174532563	0.9983818025644174	0.9984813848525255	hmp_airskin_gtdb_source_abundance	sum	26	0	0.9615384615384616	10.337735604597114	9.524072174532563	0.9983818025644174	0.9984813848525255	0.0	10.337735604597114	10.337735604597114	0.0	0.9983818025644174	0.9983818025644174	0.0
5	drop_prob_lt_0.7_and_breadth_lt_0.2	26	26	25	1	1	0.9615384615384616	0.9615384615384616	0.9615384615384616	10.337735604597114	9.524072174532563	0.9983818025644174	0.9984813848525255	hmp_airskin_gtdb_source_abundance	sum	26	0	0.9615384615384616	10.337735604597114	9.524072174532563	0.9983818025644174	0.9984813848525255	0.0	10.337735604597114	10.337735604597114	0.0	0.9983818025644174	0.9983818025644174	0.0
6	current_calls	16	16	15	1	1	0.9375	0.9375	0.9375	23.215391722468812	12.202962601464055	0.9122239933982667	0.976002571771857	hmp_airskin_gtdb_source_abundance	sum	16	0	0.9375	23.215391722468812	12.202962601464055	0.9122239933982667	0.976002571771857	0.0	23.215391722468812	23.215391722468812	0.0	0.9122239933982667	0.9122239933982667	0.0
6	drop_prob_lt_0.7_and_breadth_lt_0.2	16	16	15	1	1	0.9375	0.9375	0.9375	23.215391722468812	12.202962601464055	0.9122239933982667	0.976002571771857	hmp_airskin_gtdb_source_abundance	sum	16	0	0.9375	23.215391722468812	12.202962601464055	0.9122239933982667	0.976002571771857	0.0	23.215391722468812	23.215391722468812	0.0	0.9122239933982667	0.9122239933982667	0.0
7	current_calls	75	89	69	20	6	0.7752808988764045	0.92	0.8414634146341463	27.609399687248022	23.569124165375715	0.9875542782678016	0.9880750272858686	hmp_airskin_gtdb_source_abundance	sum	89	0	0.8414634146341463	27.609399687248022	23.569124165375715	0.9875542782678016	0.9880750272858686	0.0	27.609399687248022	27.609399687248022	0.0	0.9875542782678016	0.9875542782678016	0.0
7	drop_prob_lt_0.7_and_breadth_lt_0.2	75	63	60	3	15	0.9523809523809523	0.8	0.8695652173913043	21.21468000265437	20.740092526634022	0.9882204092349139	0.9882067554228685	hmp_airskin_gtdb_source_abundance	sum	63	26	0.8414634146341463	27.609399687248022	23.569124165375715	0.9875542782678016	0.9880750272858686	0.028101802757158012	21.21468000265437	27.609399687248022	-6.394719684593653	0.9882204092349139	0.9875542782678016	0.0006661309671123217
9	current_calls	96	102	92	10	4	0.9019607843137255	0.9583333333333334	0.9292929292929293	31.52693025024469	22.68679514645133	0.9866666556242832	0.9927120918834782	hmp_airskin_gtdb_source_abundance	sum	102	0	0.9292929292929293	31.52693025024469	22.68679514645133	0.9866666556242832	0.9927120918834782	0.0	31.52693025024469	31.52693025024469	0.0	0.9866666556242832	0.9866666556242832	0.0
9	drop_prob_lt_0.7_and_breadth_lt_0.2	96	80	79	1	17	0.9875	0.8229166666666666	0.8977272727272727	21.413245211191693	20.491970576404288	0.9924472642110502	0.9926206602650243	hmp_airskin_gtdb_source_abundance	sum	80	22	0.9292929292929293	31.52693025024469	22.68679514645133	0.9866666556242832	0.9927120918834782	-0.031565656565656575	21.413245211191693	31.52693025024469	-10.113685039052996	0.9924472642110502	0.9866666556242832	0.005780608586766989
10	current_calls	69	69	63	6	6	0.9130434782608695	0.9130434782608695	0.9130434782608695	20.729208359157205	18.003822216673804	0.9889496865549157	0.9899775618885671	hmp_airskin_gtdb_source_abundance	sum	69	0	0.9130434782608695	20.729208359157205	18.003822216673804	0.9889496865549157	0.9899775618885671	0.0	20.729208359157205	20.729208359157205	0.0	0.9889496865549157	0.9889496865549157	0.0
10	drop_prob_lt_0.7_and_breadth_lt_0.2	69	58	58	0	11	1.0	0.8405797101449275	0.9133858267716535	18.932175021954347	18.932175021954347	0.9896190365764073	0.9896190365764073	hmp_airskin_gtdb_source_abundance	sum	58	11	0.9130434782608695	20.729208359157205	18.003822216673804	0.9889496865549157	0.9899775618885671	0.000342348510783963	18.932175021954347	20.729208359157205	-1.7970333372028584	0.9896190365764073	0.9889496865549157	0.0006693500214915993
11	current_calls	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.345748750639043	22.345748750639043	0.9390039844436856	0.9390039844436856	hmp_airskin_gtdb_source_abundance	sum	32	0	0.9846153846153847	22.345748750639043	22.345748750639043	0.9390039844436856	0.9390039844436856	0.0	22.345748750639043	22.345748750639043	0.0	0.9390039844436856	0.9390039844436856	0.0
11	drop_prob_lt_0.7_and_breadth_lt_0.2	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.345748750639043	22.345748750639043	0.9390039844436856	0.9390039844436856	hmp_airskin_gtdb_source_abundance	sum	32	0	0.9846153846153847	22.345748750639043	22.345748750639043	0.9390039844436856	0.9390039844436856	0.0	22.345748750639043	22.345748750639043	0.0	0.9390039844436856	0.9390039844436856	0.0
13	current_calls	40	40	37	3	3	0.925	0.925	0.925	54.74798404447638	54.19229885851233	0.9105244185423925	0.9100458154509375	hmp_airskin_gtdb_source_abundance	sum	40	0	0.925	54.74798404447638	54.19229885851233	0.9105244185423925	0.9100458154509375	0.0	54.74798404447638	54.74798404447638	0.0	0.9105244185423925	0.9105244185423925	0.0
13	drop_prob_lt_0.7_and_breadth_lt_0.2	40	35	33	2	7	0.9428571428571428	0.825	0.88	54.11204367792328	53.67937993254011	0.9102817839189385	0.90994389542893	hmp_airskin_gtdb_source_abundance	sum	35	5	0.925	54.74798404447638	54.19229885851233	0.9105244185423925	0.9100458154509375	-0.04500000000000004	54.11204367792328	54.74798404447638	-0.6359403665531005	0.9102817839189385	0.9105244185423925	-0.00024263462345397446
14	current_calls	28	30	25	5	3	0.8333333333333334	0.8928571428571429	0.8620689655172413	14.824167972260827	11.357212620265202	0.9986364303601221	0.9989077132319847	hmp_airskin_gtdb_source_abundance	sum	30	0	0.8620689655172413	14.824167972260827	11.357212620265202	0.9986364303601221	0.9989077132319847	0.0	14.824167972260827	14.824167972260827	0.0	0.9986364303601221	0.9986364303601221	0.0
14	drop_prob_lt_0.7_and_breadth_lt_0.2	28	29	25	4	3	0.8620689655172413	0.8928571428571429	0.8771929824561403	14.607224974565286	11.319835218236038	0.9986328413473404	0.9989077132319847	hmp_airskin_gtdb_source_abundance	sum	29	1	0.8620689655172413	14.824167972260827	11.357212620265202	0.9986364303601221	0.9989077132319847	0.015124016938898976	14.607224974565286	14.824167972260827	-0.2169429976955417	0.9986328413473404	0.9986364303601221	-3.589012781635148e-06
15	current_calls	24	22	21	1	3	0.9545454545454546	0.875	0.9130434782608695	8.896279874750265	8.527120863346004	0.9995246530616627	0.999528727060929	hmp_airskin_gtdb_source_abundance	sum	22	0	0.9130434782608695	8.896279874750265	8.527120863346004	0.9995246530616627	0.999528727060929	0.0	8.896279874750265	8.896279874750265	0.0	0.9995246530616627	0.9995246530616627	0.0
15	drop_prob_lt_0.7_and_breadth_lt_0.2	24	22	21	1	3	0.9545454545454546	0.875	0.9130434782608695	8.896279874750265	8.527120863346004	0.9995246530616627	0.999528727060929	hmp_airskin_gtdb_source_abundance	sum	22	0	0.9130434782608695	8.896279874750265	8.527120863346004	0.9995246530616627	0.999528727060929	0.0	8.896279874750265	8.896279874750265	0.0	0.9995246530616627	0.9995246530616627	0.0
16	current_calls	10	10	10	0	0	1.0	1.0	1.0	6.91458951469375	6.91458951469375	0.9998353757011106	0.9998353757011106	hmp_airskin_gtdb_source_abundance	sum	10	0	1.0	6.91458951469375	6.91458951469375	0.9998353757011106	0.9998353757011106	0.0	6.91458951469375	6.91458951469375	0.0	0.9998353757011106	0.9998353757011106	0.0
16	drop_prob_lt_0.7_and_breadth_lt_0.2	10	10	10	0	0	1.0	1.0	1.0	6.91458951469375	6.91458951469375	0.9998353757011106	0.9998353757011106	hmp_airskin_gtdb_source_abundance	sum	10	0	1.0	6.91458951469375	6.91458951469375	0.9998353757011106	0.9998353757011106	0.0	6.91458951469375	6.91458951469375	0.0	0.9998353757011106	0.9998353757011106	0.0
17	current_calls	46	73	46	27	0	0.6301369863013698	1.0	0.773109243697479	26.525180643112616	17.668557178190664	0.9960095778891284	0.996789006391613	hmp_airskin_gtdb_source_abundance	sum	73	0	0.773109243697479	26.525180643112616	17.668557178190664	0.9960095778891284	0.996789006391613	0.0	26.525180643112616	26.525180643112616	0.0	0.9960095778891284	0.9960095778891284	0.0
17	drop_prob_lt_0.7_and_breadth_lt_0.2	46	49	46	3	0	0.9387755102040817	1.0	0.968421052631579	16.390902725208516	14.88505657018534	0.9967419656866767	0.9967890063916132	hmp_airskin_gtdb_source_abundance	sum	49	24	0.773109243697479	26.525180643112616	17.668557178190664	0.9960095778891284	0.996789006391613	0.19531180893409994	16.390902725208516	26.525180643112616	-10.1342779179041	0.9967419656866767	0.9960095778891284	0.0007323877975483617
18	current_calls	27	26	25	1	2	0.9615384615384616	0.9259259259259259	0.9433962264150944	12.023034824053715	10.640124279497003	0.9947328417202752	0.995104419479662	hmp_airskin_gtdb_source_abundance	sum	26	0	0.9433962264150944	12.023034824053715	10.640124279497003	0.9947328417202752	0.995104419479662	0.0	12.023034824053715	12.023034824053715	0.0	0.9947328417202752	0.9947328417202752	0.0
18	drop_prob_lt_0.7_and_breadth_lt_0.2	27	26	25	1	2	0.9615384615384616	0.9259259259259259	0.9433962264150944	12.023034824053715	10.640124279497003	0.9947328417202752	0.995104419479662	hmp_airskin_gtdb_source_abundance	sum	26	0	0.9433962264150944	12.023034824053715	10.640124279497003	0.9947328417202752	0.995104419479662	0.0	12.023034824053715	12.023034824053715	0.0	0.9947328417202752	0.9947328417202752	0.0
19	current_calls	111	147	104	43	7	0.7074829931972789	0.9369369369369369	0.8062015503875969	37.173740407670834	27.293248540725934	0.9634093812936607	0.980683194447156	hmp_airskin_gtdb_source_abundance	sum	147	0	0.8062015503875969	37.173740407670834	27.293248540725934	0.9634093812936607	0.980683194447156	0.0	37.173740407670834	37.173740407670834	0.0	0.9634093812936607	0.9634093812936607	0.0
19	drop_prob_lt_0.7_and_breadth_lt_0.2	111	105	101	4	10	0.9619047619047619	0.9099099099099099	0.9351851851851852	28.209818278149367	24.169248302380378	0.9710413933201099	0.9843508766132726	hmp_airskin_gtdb_source_abundance	sum	105	42	0.8062015503875969	37.173740407670834	27.293248540725934	0.9634093812936607	0.980683194447156	0.12898363479758834	28.209818278149367	37.173740407670834	-8.963922129521467	0.9710413933201099	0.9634093812936607	0.007632012026449142
20	current_calls	79	106	76	30	3	0.7169811320754716	0.9620253164556962	0.8216216216216216	25.952986359054144	16.91205476222545	0.9904823004265118	0.994983201473338	hmp_airskin_gtdb_source_abundance	sum	106	0	0.8216216216216216	25.952986359054144	16.91205476222545	0.9904823004265118	0.994983201473338	0.0	25.952986359054144	25.952986359054144	0.0	0.9904823004265118	0.9904823004265118	0.0
20	drop_prob_lt_0.7_and_breadth_lt_0.2	79	75	73	2	6	0.9733333333333334	0.9240506329113924	0.948051948051948	16.686878743377704	16.067246340706784	0.9947974669260171	0.9948317039930539	hmp_airskin_gtdb_source_abundance	sum	75	31	0.8216216216216216	25.952986359054144	16.91205476222545	0.9904823004265118	0.994983201473338	0.12643032643032648	16.686878743377704	25.952986359054144	-9.26610761567644	0.9947974669260171	0.9904823004265118	0.004315166499505363
21	current_calls	34	41	33	8	1	0.8048780487804879	0.9705882352941176	0.8800000000000001	34.744967146760914	18.167816526634073	0.9626902136826684	0.9915885745919611	hmp_airskin_gtdb_source_abundance	sum	41	0	0.8800000000000001	34.744967146760914	18.167816526634073	0.9626902136826684	0.9915885745919611	0.0	34.744967146760914	34.744967146760914	0.0	0.9626902136826684	0.9626902136826684	0.0
21	drop_prob_lt_0.7_and_breadth_lt_0.2	34	34	33	1	1	0.9705882352941176	0.9705882352941176	0.9705882352941176	15.041829798572016	13.419659270629058	0.9909707514244174	0.9915885745919608	hmp_airskin_gtdb_source_abundance	sum	34	7	0.8800000000000001	34.744967146760914	18.167816526634073	0.9626902136826684	0.9915885745919611	0.09058823529411753	15.041829798572016	34.744967146760914	-19.703137348188896	0.9909707514244174	0.9626902136826684	0.02828053774174899
22	current_calls	21	38	19	19	2	0.5	0.9047619047619048	0.6440677966101696	20.648590840357823	12.056025115448833	0.9885915958918304	0.9968326827201656	hmp_airskin_gtdb_source_abundance	sum	38	0	0.6440677966101696	20.648590840357823	12.056025115448833	0.9885915958918304	0.9968326827201656	0.0	20.648590840357823	20.648590840357823	0.0	0.9885915958918304	0.9885915958918304	0.0
