sample	method	kind	gtdb_species	gold_abundance	accession	Ref	ANI_naive_calc	XnY_ctx	Ref_zip_af	Reliable_Ref_breadth	Reliable_ztp_af	Reliable_Ref_hit_mean_depth	Reliable_depth_vmr	ANI_AF_delta	Normalized_abundance_depth	active_gate_pass
5	minco_current_code_refresh	FP	s__Butyricicoccus sp959018045				0.912504	25	0.145888	0.0	0.0	0.0	0.0	0.0	0.000328210537293	True
5	minco_current_code_refresh	FP	s__Kineothrix sp000403275				0.991734	977	0.833729	0.0	0.0	0.0	0.0	0.0	0.0090887371866048	True
5	minco_current_code_refresh	FP	s__Petralouisia sp000403255				0.988816	953	0.781887	0.0	0.0	0.0	0.0	0.0	0.00780981984104	True
5	minco_current_code_refresh	FP	s__Solidesulfovibrio carbinoliphilus				0.930878	47	0.218562	0.0	0.0	0.0	0.0	0.0	0.0004555311986059	True
5	minco_current_code_refresh	FP	s__Trichococcus sp963730595				1.0	21	1.0	0.0	0.0	0.0	0.0	0.0	3.430130655938118e-05	True
5	minco_current_code_refresh	FN	s__Adlercreutzia caecimuris	4.471245723334764e-06			0.813952	28	0.016688	0.0	0.0	0.0	0.0	0.0	0.0	False
5	minco_current_code_refresh	FN	s__Alistipes senegalensis	3.984126743722975e-05			0.836971	71	0.027691	0.0	0.0	0.0	0.0	0.0	0.0	False
5	minco_current_code_refresh	FN	s__Anaerostipes hadrus	0.0029146426093015383			0.956292	507	0.38229	0.0	0.0	0.0	0.0	0.0	0.0	False
5	minco_current_code_refresh	FN	s__Angelakisella massiliensis	0.00013879250520483516			0.865381	84	0.051735	0.0	0.0	0.0	0.0	0.0	0.0	False
5	minco_current_code_refresh	FN	s__Bacteroides hominis	0.0003780159727171798			0.911792	223	0.14362	0.0	0.0	0.0	0.0	0.0	0.0	False
5	minco_current_code_refresh	FN	s__Bacteroides ovatus	0.0023594725884821975			0.964546	670	0.458408	0.0	0.0	0.0	0.0	0.0	0.0	False
5	minco_current_code_refresh	FN	s__Bacteroides thetaiotaomicron	0.004996530187374066			0.948695	594	0.32345	0.0	0.0	0.0	0.0	0.0	0.0	False
5	minco_current_code_refresh	FN	s__Blautia celeris	0.00015579256981831227			0.899115	80	0.108666	0.0	0.0	0.0	0.0	0.0	0.0	False
