panel	sample	method	truth_species	pred_species	TP	FP	FN	precision	recall	F1	matched_abs_error_pp	missing_truth_mass_pp	extra_pred_mass_pp	union_L1_pp	truth_only_L1_pp	truth_mass_detected_pct	pred_mass_on_truth_pct	pred_mass_extra_pct	Pearson_truth_only	Pearson_union	truth_source	pred_source	prediction_rule
cami2_toy_mouse_gut	5	minco_current_code_refresh	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	13.085848731095446	2.3283794415138734	1.7716600070103228	17.185888179619642	15.414228172609318	97.67162055848611	98.22833999298972	1.7716600070103228	0.9917478920123491	0.991379921189631	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	calibrated MinCO called rows; species_name; max per GTDB species; renormalized
cami2_toy_mouse_gut	5	sylph_gtdb_profile	198	181	177	4	21	0.9779005524861878	0.8939393939393939	0.9340369393139841	6.790009234310633	0.1657053095120455	1.7547052641157923	8.710419807938472	6.955714543822679	99.8342946904879	98.24529473588419	1.7547052641157923	0.9973219758868754	0.9969524156988561	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse5_gtdb_species_profile.tsv	/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample5/profile.tsv	Sylph rows mapped by accession; max per GTDB species; renormalized to match Toy Mouse scorer
cami2_toy_mouse_gut	6	minco_current_code_refresh	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	17.8443874985676	2.218568325012879	2.8554433654822327	22.91839918906271	20.062955823580477	97.78143167498716	97.14455663451783	2.8554433654822327	0.9737545137280393	0.9729828392129994	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse6_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	calibrated MinCO called rows; species_name; max per GTDB species; renormalized
cami2_toy_mouse_gut	6	sylph_gtdb_profile	201	193	185	8	16	0.9585492227979274	0.9203980099502488	0.9390862944162437	11.561291216392105	0.1977836807728891	3.3327232192419993	15.091798116406993	11.759074897164993	99.80221631922713	96.66727678075804	3.3327232192419993	0.9848757313686318	0.9839994374523233	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse6_gtdb_species_profile.tsv	/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample6/profile.tsv	Sylph rows mapped by accession; max per GTDB species; renormalized to match Toy Mouse scorer
cami2_toy_mouse_gut	7	minco_current_code_refresh	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.345496391678042	0.48083098091197957	0.08934675965295033	5.915674132242971	5.826327372590021	99.51916901908801	99.91065324034707	0.08934675965295033	0.9984274174395251	0.9984269486093541	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse7_gtdb_species_profile.tsv	/tmp/minco_current_code_toymouse_refresh_20260627/sample7_current.tsv	calibrated MinCO called rows; species_name; max per GTDB species; renormalized
cami2_toy_mouse_gut	7	sylph_gtdb_profile	68	68	67	1	1	0.9852941176470589	0.9852941176470589	0.9852941176470589	1.4797176462008261	6.175014277754154e-05	0.07100021300063897	1.5507796093442425	1.4797793963436037	99.9999382498572	99.92899978699931	0.07100021300063897	0.9999231107314409	0.9999204290298843	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/mouse7_gtdb_species_profile.tsv	/tmp/cami2_toymouse_samples5_7_20260625/run/sylph_sample7/profile.tsv	Sylph rows mapped by accession; max per GTDB species; renormalized to match Toy Mouse scorer
hmp_airskin_gtdb_source_abundance	0	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	33	36	29	7	4	0.8055555555555556	0.8787878787878788	0.8405797101449276	10.119936793047689	0.004790404375874205	8.65563808421218	18.780365281635746	10.124727197423564	99.99520959562412	91.34436191578783	8.65563808421218	0.9957539782840138	0.9895037710483946	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/tmp/minco_current_code_hmp_airskin0_20260627/minco_sample0_current_default.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	0	sylph_gtdb_source_abundance	33	29	28	1	5	0.9655172413793104	0.8484848484848485	0.9032258064516129	2.3561086603470334	0.015835589300694217	0.138499723000554	2.510443972648282	2.3719442496477274	99.98416441069931	99.86150027699944	0.138499723000554	0.9997816692612393	0.9997787092984863	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample0/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	1	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	51	99	51	48	0	0.5151515151515151	1.0	0.6799999999999999	11.773226709810016	0.0	6.332656980282561	18.10588369009258	11.773226709810016	99.99999999999993	93.66734301971744	6.332656980282561	0.9978165192517794	0.9973939434154936	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/minco_sample1_current_default.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	1	sylph_gtdb_source_abundance	51	52	51	1	0	0.9807692307692307	1.0	0.9902912621359222	1.953205894443334	0.0	0.22520045040090086	2.178406344844235	1.953205894443334	99.99999999999993	99.77479954959911	0.22520045040090086	0.9999152788581495	0.9999070970640818	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample1/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
